CLAVE,NOMBRE,3,4,5,6,7,8,9,10,11,14,17,18,19,20,21,22,23,24,26,28,29,30,31
V02114,VIDAXIL 0.125 MG FRASCO C/100 TABS,110.00,109.80,79.20,60.50,73.34,73.34,71.50,71.50,66.00,77.00,79.20,66.00,57.20,62.70,88.00,77.00,68.20,82.50,49.50,71.50,66.00,60.50,55.00
V02118,VIZIMOX 500 MG FRASCO C/48 CAPS,172.06,171.86,123.88,94.63,114.71,114.71,111.84,111.84,103.24,120.44,123.88,103.24,89.47,98.07,137.65,120.44,106.68,129.05,77.43,111.84,103.24,94.63,86.03
V02119,XIDOR 2 MG FRASCO C/100 TABS,143.32,143.12,103.19,78.83,95.55,95.55,93.16,93.16,85.99,100.33,103.19,85.99,74.53,81.69,114.66,100.33,88.86,107.49,64.50,93.16,85.99,78.83,71.66
V02122,ZUPAREX 20 MG FRASCO C/100 CAPS,128.00,127.80,92.16,70.40,85.34,85.34,83.20,83.20,76.80,89.60,92.16,76.80,66.56,72.96,102.40,89.60,79.36,96.00,57.60,83.20,76.80,70.40,64.00
V02124,XIDOR 4 MG FRASCO C/100 TABS,257.98,257.78,185.75,141.89,172.00,172.00,167.69,167.69,154.79,180.59,185.75,154.79,134.15,147.05,206.39,180.59,159.95,193.49,116.09,167.69,154.79,141.89,128.99
V02126,MOXITRAL 500 MG FRASCO C/20 TABS,180.00,179.80,129.60,99.00,120.01,120.01,117.00,117.00,108.00,126.00,129.60,108.00,93.60,102.60,144.00,126.00,111.60,135.00,81.00,117.00,108.00,99.00,90.00
V02127,ARISTOCILIN 500 MG FRASCO C/28 PZAS,85.99,85.79,61.92,47.30,57.33,57.33,55.90,55.90,51.60,60.20,61.92,51.60,44.72,49.02,68.79,60.20,53.32,64.50,38.70,55.90,51.60,47.30,43.00
V02131,SIMLO 20 MG FRASCO C/30 TABS,118.28,118.08,85.16,65.05,78.86,78.86,76.88,76.88,70.97,82.79,85.16,70.97,61.50,67.42,94.62,82.79,73.33,88.71,53.22,76.88,70.97,65.05,59.14
V02133,TOFEL (AR) 50/500 MG FRASCO C/100 TABS,229.32,229.12,165.11,126.13,152.89,152.89,149.06,149.06,137.59,160.52,165.11,137.59,119.25,130.71,183.46,160.52,142.18,171.99,103.19,149.06,137.59,126.13,114.66
V02135,VEROLAK (VZ) 10 MG FRASCO C/100 TABS,294.00,293.80,211.68,161.70,196.01,196.01,191.10,191.10,176.40,205.80,211.68,176.40,152.88,167.58,235.20,205.80,182.28,220.50,132.30,191.10,176.40,161.70,147.00
V02138,CLORTORY 500 MG FRASCO C/20 TABS,102.00,101.80,73.44,56.10,68.00,68.00,66.30,66.30,61.20,71.40,73.44,61.20,53.04,58.14,81.60,71.40,63.24,76.50,45.90,66.30,61.20,56.10,51.00
V02139,VEROLAK 10 MG FRASCO C/50 TABS,120.39,120.19,86.68,66.22,80.27,80.27,78.26,78.26,72.24,84.28,86.68,72.24,62.60,68.62,96.31,84.28,74.64,90.30,54.18,78.26,72.24,66.22,60.20
V02140,CLORTORY 500 MG FRASCO C/100 TABS,332.00,331.80,239.04,182.60,221.34,221.34,215.80,215.80,199.20,232.40,239.04,199.20,172.64,189.24,265.60,232.40,205.84,249.00,149.40,215.80,199.20,182.60,166.00
V02141,VICDOL 500 MG FRASCO C/50 TABS,74.00,73.80,53.28,40.70,49.34,49.34,48.10,48.10,44.40,51.80,53.28,44.40,38.48,42.18,59.20,51.80,45.88,55.50,33.30,48.10,44.40,40.70,37.00
V02143,CLORTORY 500 MG FRASCO C/28 TABS,116.00,115.80,83.52,63.80,77.34,77.34,75.40,75.40,69.60,81.20,83.52,69.60,60.32,66.12,92.80,81.20,71.92,87.00,52.20,75.40,69.60,63.80,58.00
V02145,FLUATRON 150 MG FRASCO C/15 CAPS,143.32,143.12,103.19,78.83,95.55,95.55,93.16,93.16,85.99,100.33,103.19,85.99,74.53,81.69,114.66,100.33,88.86,107.49,64.50,93.16,85.99,78.83,71.66
V02146,FLUATRON 150 MG FRASCO C/30 CAPS,225.42,225.22,162.30,123.98,150.29,150.29,146.53,146.53,135.25,157.80,162.30,135.25,117.22,128.49,180.34,157.80,139.76,169.07,101.44,146.53,135.25,123.98,112.71
V02147,CLORTORY 500 MG FRASCO C/60 TABS,222.00,221.80,159.84,122.10,148.01,148.01,144.30,144.30,133.20,155.40,159.84,133.20,115.44,126.54,177.60,155.40,137.64,166.50,99.90,144.30,133.20,122.10,111.00
V02153,SIMLO 20 MG FRASCO C/14 TABS,55.66,55.46,40.08,30.61,37.11,37.11,36.18,36.18,33.40,38.96,40.08,33.40,28.94,31.73,44.53,38.96,34.51,41.75,25.05,36.18,33.40,30.61,27.83
